Uid,FrameId,FrameType,PacketIndex,TotalPackets,TxApp,TxMac,TxPhy,RxPhy,RxApp,LatencyApp,LatencyPhy,Tid,Ac,IsAmpdu,AmpduRef
5728,0,0,0,0,0,0,10.9627,10.963,0,0,332,0,0,0,0
5725,0,0,0,0,0,0,10.8603,10.8606,0,0,332,0,0,0,0
5722,0,0,0,0,0,0,10.7579,10.7582,0,0,332,0,0,0,0
5719,0,0,0,0,0,0,10.6555,10.6558,0,0,332,0,0,0,0
5716,0,0,0,0,0,0,10.5531,10.5534,0,0,332,0,0,0,0
5713,0,0,0,0,0,0,10.4838,10.4838,0,0,28,0,0,0,0
5521,0,0,0,0,0,0,10.4837,10.4838,0,0,64,0,0,0,4752
5710,0,0,0,0,0,0,10.4832,10.4832,0,0,28,0,0,0,0
5497,0,0,0,0,0,0,10.4831,10.4832,0,0,64,0,0,0,4751
5707,0,0,0,0,0,0,10.4821,10.4822,0,0,28,0,0,0,0
5493,0,0,0,0,0,0,10.4821,10.4821,0,0,64,0,0,0,4750
5704,0,0,0,0,0,0,10.482,10.482,0,0,28,0,0,0,0
5502,0,0,0,0,0,0,10.4819,10.482,0,0,64,0,0,0,367
5701,0,0,0,0,0,0,10.4809,10.481,0,0,72,0,0,0,0
5697,0,0,0,0,0,0,10.4809,10.4809,0,0,32,0,0,0,0
5693,0,0,0,0,0,0,10.4507,10.451,0,0,332,0,0,0,0
5690,0,0,0,0,0,0,10.4461,10.4462,0,0,72,0,0,0,0
5686,0,0,0,0,0,0,10.4461,10.4461,0,0,32,0,0,0,0
5683,0,0,0,0,0,0,10.4459,10.4459,0,0,28,0,0,0,0
5679,0,0,0,0,0,0,10.4151,10.4152,0,0,72,0,0,0,0
5676,0,0,0,0,0,0,10.4151,10.4151,0,0,32,0,0,0,0
5673,0,0,0,0,0,0,10.3805,10.3806,0,0,28,0,0,0,0
5669,0,0,0,0,0,0,10.3802,10.3803,0,0,72,0,0,0,0
5666,0,0,0,0,0,0,10.3802,10.3802,0,0,32,0,0,0,0
5663,0,0,0,0,0,0,10.3576,10.3576,0,0,28,0,0,0,0
5659,0,0,0,0,0,0,10.3483,10.3486,0,0,332,0,0,0,0
5656,0,0,0,0,0,0,10.3453,10.3453,0,0,72,0,0,0,0
5653,0,0,0,0,0,0,10.3452,10.3452,0,0,32,0,0,0,0
5650,0,0,0,0,0,0,10.3252,10.3252,0,0,28,0,0,0,0
5646,0,0,0,0,0,0,10.3154,10.3154,0,0,28,0,0,0,0
5642,0,0,0,0,0,0,10.3146,10.3146,0,0,28,0,0,0,0
5638,0,0,0,0,0,0,10.312,10.312,0,0,28,0,0,0,0
5634,0,0,0,0,0,0,10.3118,10.3119,0,0,72,0,0,0,0
5631,0,0,0,0,0,0,10.3117,10.3118,0,0,32,0,0,0,0
5628,0,0,0,0,0,0,10.2771,10.2772,0,0,72,0,0,0,0
5625,0,0,0,0,0,0,10.2771,10.2771,0,0,32,0,0,0,0
5622,0,0,0,0,0,0,10.2459,10.2462,0,0,332,0,0,0,0
5619,0,0,0,0,0,0,10.2445,10.2445,0,0,72,0,0,0,0
5615,0,0,0,0,0,0,10.2444,10.2444,0,0,32,0,0,0,0
5612,0,0,0,0,0,0,10.2443,10.2444,0,0,28,0,0,0,0
5608,0,0,0,0,0,0,10.2399,10.2399,0,0,28,0,0,0,0
