TxTime(sec),RxTime(sec),Latency(ms),FrameID,FrameType,PacketIndex,TotalPackets,FwdRef,BwdRef
3.010000,3.012276,2.276,0,I,0,50,-1,-1
3.010000,3.012481,2.481,0,I,1,50,-1,-1
3.010000,3.012994,2.994,0,I,2,50,-1,-1
3.010000,3.013588,3.588,0,I,3,50,-1,-1
3.010000,3.013829,3.829,0,I,4,50,-1,-1
3.010000,3.013990,3.990,0,I,5,50,-1,-1
3.010000,3.014611,4.611,0,I,6,50,-1,-1
3.010000,3.014834,4.834,0,I,7,50,-1,-1
3.010000,3.015111,5.111,0,I,8,50,-1,-1
3.010000,3.015379,5.379,0,I,9,50,-1,-1
3.010000,3.015566,5.566,0,I,10,50,-1,-1
3.010000,3.015834,5.834,0,I,11,50,-1,-1
3.010000,3.016102,6.102,0,I,12,50,-1,-1
3.010000,3.016445,6.445,0,I,13,50,-1,-1
3.010000,3.016614,6.614,0,I,14,50,-1,-1
3.010000,3.017410,7.410,0,I,15,50,-1,-1
3.010000,3.017833,7.833,0,I,16,50,-1,-1
3.010000,3.018110,8.110,0,I,17,50,-1,-1
3.010000,3.018324,8.324,0,I,18,50,-1,-1
3.010000,3.018484,8.484,0,I,19,50,-1,-1
3.010000,3.021704,11.704,0,I,20,50,-1,-1
3.010000,3.022163,12.163,0,I,21,50,-1,-1
3.010000,3.022730,12.730,0,I,22,50,-1,-1
3.010000,3.023117,13.117,0,I,23,50,-1,-1
3.010000,3.023295,13.295,0,I,24,50,-1,-1
3.010000,3.023527,13.527,0,I,25,50,-1,-1
3.010000,3.023696,13.696,0,I,26,50,-1,-1
3.010000,3.023856,13.856,0,I,27,50,-1,-1
3.010000,3.024080,14.080,0,I,28,50,-1,-1
3.010000,3.024294,14.294,0,I,29,50,-1,-1
3.010000,3.024544,14.544,0,I,30,50,-1,-1
3.010000,3.025084,15.084,0,I,31,50,-1,-1
3.010000,3.025543,15.543,0,I,32,50,-1,-1
3.010000,3.027446,17.446,0,I,33,50,-1,-1
3.010000,3.028429,18.429,0,I,34,50,-1,-1
3.010000,3.028680,18.680,0,I,35,50,-1,-1
3.010000,3.028903,18.903,0,I,36,50,-1,-1
3.010000,3.029117,19.117,0,I,37,50,-1,-1
3.010000,3.032282,22.282,0,I,38,50,-1,-1
3.010000,3.032550,22.550,0,I,39,50,-1,-1
3.010000,3.032836,22.836,0,I,40,50,-1,-1
3.010000,3.032996,22.996,0,I,41,50,-1,-1
3.010000,3.033183,23.183,0,I,42,50,-1,-1
3.010000,3.033643,23.643,0,I,43,50,-1,-1
3.010000,3.034482,24.482,0,I,44,50,-1,-1
3.010000,3.035103,25.103,0,I,45,50,-1,-1
3.010000,3.035254,25.254,0,I,46,50,-1,-1
3.010000,3.036147,26.147,0,I,47,50,-1,-1
3.010000,3.036415,26.415,0,I,48,50,-1,-1
3.010000,3.036665,26.665,0,I,49,50,-1,-1
3.043000,3.044080,1.080,1,B,0,5,0,3
3.043000,3.045045,2.045,1,B,1,5,0,3
3.043000,3.045268,2.268,1,B,2,5,0,3
3.043000,3.045491,2.491,1,B,3,5,0,3
3.043000,3.045714,2.714,1,B,4,5,0,3
3.076000,3.077077,1.077,2,B,0,5,0,3
3.076000,3.077354,1.354,2,B,1,5,0,3
3.076000,3.077533,1.533,2,B,2,5,0,3
3.076000,3.080031,4.031,2,B,3,5,0,3
3.076000,3.080308,4.308,2,B,4,5,0,3
3.109000,3.110811,1.811,3,P,0,30,0,-1
3.109000,3.111007,2.007,3,P,1,30,0,-1
3.109000,3.111703,2.703,3,P,2,30,0,-1
3.109000,3.111926,2.926,3,P,3,30,0,-1
3.109000,3.112203,3.203,3,P,4,30,0,-1
3.109000,3.112435,3.435,3,P,5,30,0,-1
3.109000,3.112795,3.795,3,P,6,30,0,-1
3.109000,3.113236,4.236,3,P,7,30,0,-1
3.109000,3.113522,4.522,3,P,8,30,0,-1
3.109000,3.113692,4.692,3,P,9,30,0,-1
3.109000,3.113879,4.879,3,P,10,30,0,-1
3.109000,3.114129,5.129,3,P,11,30,0,-1
3.109000,3.114597,5.597,3,P,12,30,0,-1
3.109000,3.115589,6.589,3,P,13,30,0,-1
3.109000,3.116111,7.111,3,P,14,30,0,-1
3.109000,3.116307,7.307,3,P,15,30,0,-1
3.109000,3.116566,7.566,3,P,16,30,0,-1
3.109000,3.116745,7.745,3,P,17,30,0,-1
3.109000,3.117719,8.719,3,P,18,30,0,-1
3.109000,3.118133,9.133,3,P,19,30,0,-1
3.109000,3.118419,9.419,3,P,20,30,0,-1
3.109000,3.118869,9.869,3,P,21,30,0,-1
3.109000,3.119193,10.193,3,P,22,30,0,-1
3.109000,3.119362,10.362,3,P,23,30,0,-1
3.109000,3.119903,10.903,3,P,24,30,0,-1
3.109000,3.120506,11.506,3,P,25,30,0,-1
3.109000,3.120675,11.675,3,P,26,30,0,-1
3.109000,3.121658,12.658,3,P,27,30,0,-1
3.109000,3.121935,12.935,3,P,28,30,0,-1
3.109000,3.122421,13.421,3,P,29,30,0,-1
3.142000,3.143427,1.427,4,B,0,5,3,6
3.142000,3.144455,2.455,4,B,1,5,3,6
3.142000,3.144942,2.942,4,B,2,5,3,6
3.142000,3.145192,3.192,4,B,3,5,3,6
3.142000,3.145561,3.561,4,B,4,5,3,6
3.175000,3.176078,1.078,5,B,0,5,3,6
3.175000,3.176328,1.328,5,B,1,5,3,6
3.175000,3.179313,4.313,5,B,2,5,3,6
3.175000,3.179464,4.464,5,B,3,5,3,6
3.175000,3.179652,4.652,5,B,4,5,3,6
3.208000,3.209080,1.080,6,P,0,30,3,-1
3.208000,3.209258,1.258,6,P,1,30,3,-1
3.208000,3.209762,1.762,6,P,2,30,3,-1
3.208000,3.210140,2.140,6,P,3,30,3,-1
3.208000,3.210373,2.373,6,P,4,30,3,-1
3.208000,3.210542,2.542,6,P,5,30,3,-1
3.208000,3.210783,2.783,6,P,6,30,3,-1
3.208000,3.211024,3.024,6,P,7,30,3,-1
3.208000,3.212630,4.630,6,P,8,30,3,-1
3.208000,3.213775,5.775,6,P,9,30,3,-1
3.208000,3.213944,5.944,6,P,10,30,3,-1
3.208000,3.214885,6.885,6,P,11,30,3,-1
3.208000,3.215153,7.153,6,P,12,30,3,-1
3.208000,3.215531,7.531,6,P,13,30,3,-1
3.208000,3.216197,8.197,6,P,14,30,3,-1
3.208000,3.216411,8.411,6,P,15,30,3,-1
3.208000,3.216571,8.571,6,P,16,30,3,-1
3.208000,3.216839,8.839,6,P,17,30,3,-1
3.208000,3.217035,9.035,6,P,18,30,3,-1
3.208000,3.217187,9.187,6,P,19,30,3,-1
3.208000,3.217610,9.610,6,P,20,30,3,-1
3.208000,3.217851,9.851,6,P,21,30,3,-1
3.208000,3.218011,10.011,6,P,22,30,3,-1
3.208000,3.218261,10.261,6,P,23,30,3,-1
3.208000,3.218457,10.457,6,P,24,30,3,-1
3.208000,3.218698,10.698,6,P,25,30,3,-1
3.208000,3.218913,10.913,6,P,26,30,3,-1
3.208000,3.220276,12.276,6,P,27,30,3,-1
3.208000,3.220517,12.517,6,P,28,30,3,-1
3.208000,3.220704,12.704,6,P,29,30,3,-1
3.241000,3.242077,1.077,7,B,0,5,6,9
3.241000,3.242264,1.264,7,B,1,5,6,9
