TxTime(sec),RxTime(sec),Latency(ms),FrameID,FrameType,PacketIndex,TotalPackets,FwdRef,BwdRef
3.010000,3.013631,3.631,0,I,0,50,-1,-1
3.010000,3.013792,3.792,0,I,1,50,-1,-1
3.010000,3.013953,3.953,0,I,2,50,-1,-1
3.010000,3.014114,4.114,0,I,3,50,-1,-1
3.010000,3.014275,4.275,0,I,4,50,-1,-1
3.010000,3.014436,4.436,0,I,5,50,-1,-1
3.010000,3.014597,4.597,0,I,6,50,-1,-1
3.010000,3.014758,4.758,0,I,7,50,-1,-1
3.010000,3.014919,4.919,0,I,8,50,-1,-1
3.010000,3.015080,5.080,0,I,9,50,-1,-1
3.010000,3.015241,5.241,0,I,10,50,-1,-1
3.010000,3.015411,5.411,0,I,11,50,-1,-1
3.010000,3.015737,5.737,0,I,12,50,-1,-1
3.010000,3.015898,5.898,0,I,13,50,-1,-1
3.010000,3.016059,6.059,0,I,14,50,-1,-1
3.010000,3.016220,6.220,0,I,15,50,-1,-1
3.010000,3.016381,6.381,0,I,16,50,-1,-1
3.010000,3.016542,6.542,0,I,17,50,-1,-1
3.010000,3.016703,6.703,0,I,18,50,-1,-1
3.010000,3.016864,6.864,0,I,19,50,-1,-1
3.010000,3.017025,7.025,0,I,20,50,-1,-1
3.010000,3.017186,7.186,0,I,21,50,-1,-1
3.010000,3.017347,7.347,0,I,22,50,-1,-1
3.010000,3.017517,7.517,0,I,23,50,-1,-1
3.010000,3.017852,7.852,0,I,24,50,-1,-1
3.010000,3.018013,8.013,0,I,25,50,-1,-1
3.010000,3.018174,8.174,0,I,26,50,-1,-1
3.010000,3.018335,8.335,0,I,27,50,-1,-1
3.010000,3.018496,8.496,0,I,28,50,-1,-1
3.010000,3.018657,8.657,0,I,29,50,-1,-1
3.010000,3.018818,8.818,0,I,30,50,-1,-1
3.010000,3.018979,8.979,0,I,31,50,-1,-1
3.010000,3.019140,9.140,0,I,32,50,-1,-1
3.010000,3.019301,9.301,0,I,33,50,-1,-1
3.010000,3.019462,9.462,0,I,34,50,-1,-1
3.010000,3.019633,9.633,0,I,35,50,-1,-1
3.010000,3.019985,9.985,0,I,36,50,-1,-1
3.010000,3.020146,10.146,0,I,37,50,-1,-1
3.010000,3.020307,10.307,0,I,38,50,-1,-1
3.010000,3.020468,10.468,0,I,39,50,-1,-1
3.010000,3.020629,10.629,0,I,40,50,-1,-1
3.010000,3.020790,10.790,0,I,41,50,-1,-1
3.010000,3.020951,10.951,0,I,42,50,-1,-1
3.010000,3.021112,11.112,0,I,43,50,-1,-1
3.010000,3.021273,11.273,0,I,44,50,-1,-1
3.010000,3.021434,11.434,0,I,45,50,-1,-1
3.010000,3.021595,11.595,0,I,46,50,-1,-1
3.010000,3.021766,11.766,0,I,47,50,-1,-1
3.010000,3.022109,12.109,0,I,48,50,-1,-1
3.010000,3.022290,12.290,0,I,49,50,-1,-1
3.043000,3.045928,2.928,1,B,0,5,0,3
3.043000,3.046089,3.089,1,B,1,5,0,3
3.043000,3.046250,3.250,1,B,2,5,0,3
3.043000,3.046412,3.412,1,B,3,5,0,3
3.043000,3.046589,3.589,1,B,4,5,0,3
3.076000,3.077247,1.247,2,B,0,5,0,3
3.076000,3.077556,1.556,2,B,1,5,0,3
3.076000,3.077717,1.717,2,B,2,5,0,3
3.076000,3.077878,1.878,2,B,3,5,0,3
3.076000,3.078056,2.056,2,B,4,5,0,3
3.109000,3.110245,1.245,3,P,0,30,0,-1
3.109000,3.110590,1.590,3,P,1,30,0,-1
3.109000,3.110751,1.751,3,P,2,30,0,-1
3.109000,3.110912,1.912,3,P,3,30,0,-1
3.109000,3.111073,2.073,3,P,4,30,0,-1
3.109000,3.111234,2.234,3,P,5,30,0,-1
3.109000,3.111395,2.395,3,P,6,30,0,-1
3.109000,3.111556,2.556,3,P,7,30,0,-1
3.109000,3.111717,2.717,3,P,8,30,0,-1
3.109000,3.111878,2.878,3,P,9,30,0,-1
3.109000,3.112039,3.039,3,P,10,30,0,-1
3.109000,3.112200,3.200,3,P,11,30,0,-1
3.109000,3.112361,3.361,3,P,12,30,0,-1
3.109000,3.112522,3.522,3,P,13,30,0,-1
3.109000,3.112683,3.683,3,P,14,30,0,-1
3.109000,3.112844,3.844,3,P,15,30,0,-1
3.109000,3.113006,4.006,3,P,16,30,0,-1
3.109000,3.113167,4.167,3,P,17,30,0,-1
3.109000,3.113328,4.328,3,P,18,30,0,-1
3.109000,3.113489,4.489,3,P,19,30,0,-1
3.109000,3.113650,4.650,3,P,20,30,0,-1
3.109000,3.113811,4.811,3,P,21,30,0,-1
3.109000,3.113972,4.972,3,P,22,30,0,-1
3.109000,3.114133,5.133,3,P,23,30,0,-1
3.109000,3.114294,5.294,3,P,24,30,0,-1
3.109000,3.114455,5.455,3,P,25,30,0,-1
3.109000,3.114616,5.616,3,P,26,30,0,-1
3.109000,3.114777,5.777,3,P,27,30,0,-1
3.109000,3.114938,5.938,3,P,28,30,0,-1
3.109000,3.115107,6.107,3,P,29,30,0,-1
3.142000,3.143245,1.245,4,B,0,5,3,6
3.142000,3.143589,1.589,4,B,1,5,3,6
3.142000,3.143750,1.750,4,B,2,5,3,6
3.142000,3.143911,1.911,4,B,3,5,3,6
3.142000,3.144090,2.090,4,B,4,5,3,6
3.175000,3.176242,1.242,5,B,0,5,3,6
3.175000,3.176586,1.586,5,B,1,5,3,6
3.175000,3.176748,1.748,5,B,2,5,3,6
3.175000,3.176909,1.909,5,B,3,5,3,6
3.175000,3.177087,2.087,5,B,4,5,3,6
3.208000,3.209249,1.249,6,P,0,30,3,-1
3.208000,3.209576,1.576,6,P,1,30,3,-1
3.208000,3.209737,1.737,6,P,2,30,3,-1
3.208000,3.209898,1.898,6,P,3,30,3,-1
3.208000,3.210059,2.059,6,P,4,30,3,-1
3.208000,3.210220,2.220,6,P,5,30,3,-1
3.208000,3.210381,2.381,6,P,6,30,3,-1
3.208000,3.210542,2.542,6,P,7,30,3,-1
3.208000,3.210703,2.703,6,P,8,30,3,-1
3.208000,3.210864,2.864,6,P,9,30,3,-1
3.208000,3.211025,3.025,6,P,10,30,3,-1
3.208000,3.211186,3.186,6,P,11,30,3,-1
