PhyRxTime,FrameID,FrameType,PacketIndex,TID,AccessCategory,IsAMPDU,AMPDURefNum
3.00472,0,I,0,0,AC BE,NO,0
3.00843,4294967295,I,0,0,AC BE,YES,1
3.00888,4294967295,I,1,0,AC BE,YES,2
3.00909,4294967295,I,2,0,AC BE,YES,3
3.01228,0,I,0,0,AC BE,YES,4
3.01248,0,I,1,0,AC BE,YES,5
3.01299,0,I,2,0,AC BE,YES,6
3.01359,0,I,3,0,AC BE,YES,7
3.01383,0,I,4,0,AC BE,YES,8
3.01399,0,I,5,0,AC BE,YES,9
3.01461,0,I,6,0,AC BE,YES,10
3.01483,0,I,7,0,AC BE,YES,11
3.01511,0,I,8,0,AC BE,YES,12
3.01538,0,I,9,0,AC BE,YES,13
3.01557,0,I,10,0,AC BE,YES,14
3.01583,0,I,11,0,AC BE,YES,15
3.0161,0,I,12,0,AC BE,YES,16
3.01644,0,I,13,0,AC BE,YES,17
3.01661,0,I,14,0,AC BE,YES,18
3.01741,0,I,15,0,AC BE,YES,19
3.01783,0,I,16,0,AC BE,YES,20
3.01811,0,I,17,0,AC BE,YES,21
3.01832,0,I,18,0,AC BE,YES,22
3.01848,0,I,19,0,AC BE,YES,23
3.0217,0,I,20,0,AC BE,YES,24
3.02216,0,I,21,0,AC BE,YES,25
3.02273,0,I,22,0,AC BE,YES,26
3.02312,0,I,23,0,AC BE,YES,27
3.0233,0,I,24,0,AC BE,YES,28
3.02353,0,I,25,0,AC BE,YES,29
3.0237,0,I,26,0,AC BE,YES,30
3.02386,0,I,27,0,AC BE,YES,31
3.02408,0,I,28,0,AC BE,YES,32
3.02429,0,I,29,0,AC BE,YES,33
3.02454,0,I,30,0,AC BE,YES,34
3.02508,0,I,31,0,AC BE,YES,35
3.02554,0,I,32,0,AC BE,YES,36
3.02745,0,I,33,0,AC BE,YES,37
3.02843,0,I,34,0,AC BE,YES,38
3.02868,0,I,35,0,AC BE,YES,39
3.0289,0,I,36,0,AC BE,YES,40
3.02912,0,I,37,0,AC BE,YES,41
3.03228,0,I,38,0,AC BE,YES,42
3.03255,0,I,39,0,AC BE,YES,43
3.03284,0,I,40,0,AC BE,YES,44
3.033,0,I,41,0,AC BE,YES,45
3.03318,0,I,42,0,AC BE,YES,46
3.03364,0,I,43,0,AC BE,YES,47
3.03448,0,I,44,0,AC BE,YES,48
3.0351,0,I,45,0,AC BE,YES,49
3.03525,0,I,46,0,AC BE,YES,50
3.03615,0,I,47,0,AC BE,YES,51
