PhyRxTime,FrameID,FrameType,PacketIndex,TID,AccessCategory,IsAMPDU,AMPDURefNum
3.00473,0,I,0,0,AC BE,NO,0
3.02526,0,I,0,7,AC VO,YES,1
3.03852,0,I,1,7,AC VO,YES,2
3.05189,4294967295,I,0,5,AC VI,YES,3
3.05267,4294967295,I,1,5,AC VI,YES,4
3.06465,0,I,2,7,AC VO,YES,5
3.07664,4294967295,I,2,5,AC VI,YES,6
3.08785,0,I,3,7,AC VO,YES,7
3.09348,0,I,4,7,AC VO,YES,8
3.11618,0,I,5,7,AC VO,YES,9
3.14082,0,I,6,7,AC VO,YES,10
3.14362,0,I,7,7,AC VO,YES,11
3.15489,0,I,8,7,AC VO,YES,12
3.15541,0,I,9,7,AC VO,YES,13
3.15937,0,I,10,7,AC VO,YES,14
3.1721,0,I,11,7,AC VO,YES,15
3.17236,0,I,12,7,AC VO,YES,16
3.17368,0,I,13,7,AC VO,YES,17
3.17917,0,I,14,7,AC VO,YES,18
3.18306,0,I,15,7,AC VO,YES,19
3.19771,1,B,0,3,AC BE,YES,20
3.19907,0,I,16,7,AC VO,YES,21
3.20705,0,I,17,7,AC VO,YES,22
3.20757,0,I,18,7,AC VO,YES,23
3.21627,0,I,19,7,AC VO,YES,24
3.22954,0,I,20,7,AC VO,YES,25
3.23086,0,I,21,7,AC VO,YES,26
3.24385,0,I,22,7,AC VO,YES,27
3.24835,0,I,23,7,AC VO,YES,28
3.254,0,I,24,7,AC VO,YES,29
3.26144,0,I,25,7,AC VO,YES,30
3.26424,0,I,26,7,AC VO,YES,31
3.26885,1,B,1,3,AC BE,YES,32
3.27953,0,I,27,7,AC VO,YES,33
3.28031,0,I,28,7,AC VO,YES,34
3.31578,0,I,29,7,AC VO,YES,35
3.33065,0,I,30,7,AC VO,YES,36
3.33601,0,I,31,7,AC VO,YES,37
3.34461,0,I,32,7,AC VO,YES,38
3.34566,0,I,33,7,AC VO,YES,39
3.36076,0,I,34,7,AC VO,YES,40
3.36101,0,I,35,7,AC VO,YES,41
3.36127,0,I,36,7,AC VO,YES,42
3.36473,0,I,37,7,AC VO,YES,43
3.36692,0,I,38,7,AC VO,YES,44
3.37361,0,I,39,7,AC VO,YES,45
3.37927,0,I,40,7,AC VO,YES,46
3.38168,0,I,41,7,AC VO,YES,47
