PhyRxTime,FrameID,FrameType,PacketIndex,TID,AccessCategory,IsAMPDU,AMPDURefNum
3.00473,0,I,0,0,AC BE,NO,0
3.01831,0,I,31,0,AC BE,YES,1
3.024,0,I,25,0,AC BE,YES,2
3.03559,0,I,23,0,AC BE,YES,3
3.04703,4294967295,I,1,0,AC BE,YES,4
3.04703,0,I,0,0,AC BE,YES,4
3.04703,0,I,8,0,AC BE,YES,4
3.04703,0,I,16,0,AC BE,YES,4
3.04703,0,I,26,0,AC BE,YES,4
3.0527,0,I,33,0,AC BE,YES,5
3.05832,0,I,40,0,AC BE,YES,6
3.06401,0,I,3,0,AC BE,YES,7
3.06401,0,I,13,0,AC BE,YES,7
3.06401,0,I,38,0,AC BE,YES,7
3.06401,0,I,44,0,AC BE,YES,7
3.06968,0,I,35,0,AC BE,YES,8
3.07527,0,I,28,0,AC BE,YES,9
3.08094,0,I,45,0,AC BE,YES,10
3.08858,4294967295,I,0,0,AC BE,YES,11
3.08858,0,I,7,0,AC BE,YES,11
3.08858,1,B,2,0,AC BE,YES,11
3.09413,0,I,6,0,AC BE,YES,12
3.09413,0,I,34,0,AC BE,YES,12
3.0997,0,I,20,0,AC BE,YES,13
3.0997,0,I,49,0,AC BE,YES,13
3.10515,0,I,32,0,AC BE,YES,14
3.11043,0,I,11,0,AC BE,YES,15
3.11043,0,I,12,0,AC BE,YES,15
3.11043,0,I,37,0,AC BE,YES,15
3.11043,0,I,46,0,AC BE,YES,15
3.11043,2,B,2,0,AC BE,YES,15
3.116,0,I,48,0,AC BE,YES,16
3.12156,0,I,19,0,AC BE,YES,17
3.12156,1,B,1,0,AC BE,YES,17
3.12156,1,B,3,0,AC BE,YES,17
3.12713,0,I,39,0,AC BE,YES,18
3.13278,0,I,18,0,AC BE,YES,19
3.13278,3,P,9,0,AC BE,YES,19
3.13834,3,P,0,0,AC BE,YES,20
3.14983,0,I,4,0,AC BE,YES,21
3.14983,0,I,24,0,AC BE,YES,21
3.14983,3,P,3,0,AC BE,YES,21
3.15541,0,I,21,0,AC BE,YES,22
3.15541,2,B,1,0,AC BE,YES,22
3.1611,0,I,36,0,AC BE,YES,23
3.1611,3,P,2,0,AC BE,YES,23
3.16677,0,I,41,0,AC BE,YES,24
3.17243,1,B,4,0,AC BE,YES,25
3.17804,3,P,6,0,AC BE,YES,26
3.1914,1,B,0,0,AC BE,YES,27
3.20292,3,P,19,0,AC BE,YES,28
3.2085,4294967295,I,2,0,AC BE,YES,29
3.21413,3,P,10,0,AC BE,YES,30
3.21971,0,I,1,0,AC BE,YES,31
3.21971,0,I,30,0,AC BE,YES,31
3.21971,3,P,14,0,AC BE,YES,31
3.22527,0,I,42,0,AC BE,YES,32
3.22527,3,P,16,0,AC BE,YES,32
3.2309,3,P,7,0,AC BE,YES,33
3.23652,0,I,10,0,AC BE,YES,34
3.23652,3,P,5,0,AC BE,YES,34
3.24217,4,B,0,0,AC BE,YES,35
3.24778,3,P,27,0,AC BE,YES,36
3.24778,3,P,28,0,AC BE,YES,36
