PhyRxTime,FrameID,FrameType,PacketIndex,TID,AccessCategory,IsAMPDU,AMPDURefNum
3.00473,0,I,0,0,AC BE,NO,0
3.00964,4294967295,I,0,5,AC VI,YES,1
3.00964,4294967295,I,1,5,AC VI,YES,1
3.00964,4294967295,I,2,5,AC VI,YES,1
3.01541,0,I,0,7,AC VO,YES,2
3.01541,0,I,1,7,AC VO,YES,2
3.01541,0,I,2,7,AC VO,YES,2
3.01541,0,I,3,7,AC VO,YES,2
3.01541,0,I,4,7,AC VO,YES,2
3.01541,0,I,5,7,AC VO,YES,2
3.01541,0,I,6,7,AC VO,YES,2
3.01541,0,I,7,7,AC VO,YES,2
3.01541,0,I,8,7,AC VO,YES,2
3.01541,0,I,9,7,AC VO,YES,2
3.01541,0,I,10,7,AC VO,YES,2
3.01541,0,I,11,7,AC VO,YES,2
3.01752,0,I,12,7,AC VO,YES,3
3.01752,0,I,13,7,AC VO,YES,3
3.01752,0,I,14,7,AC VO,YES,3
3.01752,0,I,15,7,AC VO,YES,3
3.01752,0,I,16,7,AC VO,YES,3
3.01752,0,I,17,7,AC VO,YES,3
3.01752,0,I,18,7,AC VO,YES,3
3.01752,0,I,19,7,AC VO,YES,3
3.01752,0,I,20,7,AC VO,YES,3
3.01752,0,I,21,7,AC VO,YES,3
3.01752,0,I,22,7,AC VO,YES,3
3.01752,0,I,23,7,AC VO,YES,3
3.01963,0,I,24,7,AC VO,YES,4
3.01963,0,I,25,7,AC VO,YES,4
3.01963,0,I,26,7,AC VO,YES,4
3.01963,0,I,27,7,AC VO,YES,4
3.01963,0,I,28,7,AC VO,YES,4
3.01963,0,I,29,7,AC VO,YES,4
3.01963,0,I,30,7,AC VO,YES,4
3.01963,0,I,31,7,AC VO,YES,4
3.01963,0,I,32,7,AC VO,YES,4
3.01963,0,I,33,7,AC VO,YES,4
3.01963,0,I,34,7,AC VO,YES,4
3.01963,0,I,35,7,AC VO,YES,4
3.02177,0,I,36,7,AC VO,YES,5
3.02177,0,I,37,7,AC VO,YES,5
3.02177,0,I,38,7,AC VO,YES,5
3.02177,0,I,39,7,AC VO,YES,5
3.02177,0,I,40,7,AC VO,YES,5
3.02177,0,I,41,7,AC VO,YES,5
3.02177,0,I,42,7,AC VO,YES,5
3.02177,0,I,43,7,AC VO,YES,5
3.02177,0,I,44,7,AC VO,YES,5
3.02177,0,I,45,7,AC VO,YES,5
3.02177,0,I,46,7,AC VO,YES,5
3.02177,0,I,47,7,AC VO,YES,5
3.02229,0,I,48,7,AC VO,YES,6
3.02229,0,I,49,7,AC VO,YES,6
3.04659,1,B,0,3,AC BE,YES,7
3.04659,1,B,1,3,AC BE,YES,7
3.04659,1,B,2,3,AC BE,YES,7
3.04659,1,B,3,3,AC BE,YES,7
3.04659,1,B,4,3,AC BE,YES,7
3.07725,2,B,0,3,AC BE,YES,8
3.07806,2,B,1,3,AC BE,YES,9
3.07806,2,B,2,3,AC BE,YES,9
3.07806,2,B,3,3,AC BE,YES,9
3.07806,2,B,4,3,AC BE,YES,9
3.11025,3,P,0,3,AC BE,YES,10
3.11511,3,P,1,3,AC BE,YES,11
3.11511,3,P,2,3,AC BE,YES,11
3.11511,3,P,3,3,AC BE,YES,11
3.11511,3,P,4,3,AC BE,YES,11
3.11511,3,P,5,3,AC BE,YES,11
3.11511,3,P,6,3,AC BE,YES,11
3.11511,3,P,7,3,AC BE,YES,11
3.11511,3,P,8,3,AC BE,YES,11
3.11511,3,P,9,3,AC BE,YES,11
3.11511,3,P,10,3,AC BE,YES,11
3.11511,3,P,11,3,AC BE,YES,11
3.11511,3,P,12,3,AC BE,YES,11
3.11511,3,P,13,3,AC BE,YES,11
3.11511,3,P,14,3,AC BE,YES,11
3.11511,3,P,15,3,AC BE,YES,11
3.11511,3,P,16,3,AC BE,YES,11
3.11511,3,P,17,3,AC BE,YES,11
3.11511,3,P,18,3,AC BE,YES,11
3.11511,3,P,19,3,AC BE,YES,11
3.11511,3,P,20,3,AC BE,YES,11
3.11511,3,P,21,3,AC BE,YES,11
3.11511,3,P,22,3,AC BE,YES,11
3.11511,3,P,23,3,AC BE,YES,11
3.11511,3,P,24,3,AC BE,YES,11
3.11511,3,P,25,3,AC BE,YES,11
3.11511,3,P,26,3,AC BE,YES,11
3.11511,3,P,27,3,AC BE,YES,11
3.11511,3,P,28,3,AC BE,YES,11
3.11511,3,P,29,3,AC BE,YES,11
3.14324,4,B,0,3,AC BE,YES,12
3.14409,4,B,1,3,AC BE,YES,13
3.14409,4,B,2,3,AC BE,YES,13
3.14409,4,B,3,3,AC BE,YES,13
3.14409,4,B,4,3,AC BE,YES,13
3.17624,5,B,0,3,AC BE,YES,14
