
=== Flow Monitor Statistics ===
Flow 1:
  Tx Packets: 3191
  Rx Packets: 3191
Total Tx: 3191, Total Rx: 3191
============================


=== Simulation Configuration ===
A-MPDU: OFF
EDCA: OFF
Packet Size: 100 bytes
GOP Size: 60
Distance: 20 m
Simulation Time: 10 s
================================


=== IP Address Assignment ===
Server 0 addresses:
  Interface 0: 127.0.0.1
  Interface 1: 10.1.1.1
AP 0 addresses:
  Interface 0: 127.0.0.1
  Interface 1: 10.1.1.2
  Interface 2: 10.1.2.1
STA 0 addresses:
  Interface 0: 127.0.0.1
  Interface 1: 10.1.2.2

=== Routing Tables ===
Server 0 has routing protocol: YES
=====================


Statistics saved to: /Users/akira/workspace/ns-3.46.1/scratch/video-sim-log/stats_ampdu_off_edca_off_d20m.csv

FrameID,Type,PacketRatio(%),FwdRef,BwdRef,RefStatus,EffectiveRatio(%),Latency(ms),WithinDeadline,FirstArrival(sec),LastArrival(sec)
0,I,100.0,-1,-1,N/A,100.0,24.13,YES,3.0111,3.0341
1,B,100.0,0,3,OK,100.0,2.04,YES,3.0441,3.0450
2,B,100.0,0,3,OK,100.0,3.99,YES,3.0771,3.0800
3,P,100.0,0,-1,OK,100.0,7.65,YES,3.1101,3.1167
4,B,100.0,3,6,OK,100.0,2.05,YES,3.1431,3.1440
5,B,100.0,3,6,OK,100.0,2.08,YES,3.1761,3.1771
6,P,100.0,3,-1,OK,100.0,7.82,YES,3.2091,3.2158
7,B,100.0,6,9,OK,100.0,2.14,YES,3.2421,3.2431
8,B,100.0,6,9,OK,100.0,1.99,YES,3.2751,3.2760
9,P,100.0,6,-1,OK,100.0,7.56,YES,3.3081,3.3146
10,B,100.0,9,12,OK,100.0,1.96,YES,3.3411,3.3420
11,B,100.0,9,12,OK,100.0,2.13,YES,3.3741,3.3751
12,P,100.0,9,-1,OK,100.0,7.93,YES,3.4071,3.4139
13,B,100.0,12,15,OK,100.0,1.93,YES,3.4401,3.4409
14,B,100.0,12,15,OK,100.0,2.13,YES,3.4731,3.4741
15,P,100.0,12,-1,OK,100.0,7.59,YES,3.5061,3.5126
16,B,100.0,15,18,OK,100.0,2.09,YES,3.5391,3.5401
17,B,100.0,15,18,OK,100.0,2.04,YES,3.5721,3.5730
18,P,100.0,15,-1,OK,100.0,7.64,YES,3.6051,3.6116
19,B,100.0,18,21,OK,100.0,2.09,YES,3.6381,3.6391
20,B,100.0,18,21,OK,100.0,2.06,YES,3.6711,3.6721
21,P,100.0,18,-1,OK,100.0,7.80,YES,3.7041,3.7108
22,B,100.0,21,24,OK,100.0,2.13,YES,3.7371,3.7381
23,B,100.0,21,24,OK,100.0,2.02,YES,3.7701,3.7710
24,P,100.0,21,-1,OK,100.0,8.03,YES,3.8031,3.8100
25,B,100.0,24,27,OK,100.0,2.06,YES,3.8361,3.8371
26,B,100.0,24,27,OK,100.0,1.88,YES,3.8691,3.8699
27,P,100.0,24,-1,OK,100.0,8.05,YES,3.9021,3.9091
28,B,100.0,27,30,OK,100.0,2.06,YES,3.9351,3.9361
29,B,100.0,27,30,OK,100.0,1.97,YES,3.9681,3.9690
30,P,100.0,27,-1,OK,100.0,8.41,YES,4.0016,4.0084
31,B,100.0,30,33,OK,100.0,2.08,YES,4.0341,4.0351
32,B,100.0,30,33,OK,100.0,2.07,YES,4.0671,4.0681
33,P,100.0,30,-1,OK,100.0,10.06,YES,4.1001,4.1091
34,B,100.0,33,36,OK,100.0,2.02,YES,4.1331,4.1340
35,B,100.0,33,36,OK,100.0,2.21,YES,4.1661,4.1672
36,P,100.0,33,-1,OK,100.0,9.77,YES,4.1991,4.2078
37,B,100.0,36,39,OK,100.0,2.16,YES,4.2321,4.2332
38,B,100.0,36,39,OK,100.0,1.93,YES,4.2651,4.2659
39,P,100.0,36,-1,OK,100.0,7.84,YES,4.2981,4.3048
40,B,100.0,39,42,OK,100.0,2.12,YES,4.3311,4.3321
41,B,100.0,39,42,OK,100.0,1.97,YES,4.3641,4.3650
42,P,100.0,39,-1,OK,100.0,8.04,YES,4.3971,4.4040
43,B,100.0,42,45,OK,100.0,1.99,YES,4.4301,4.4310
44,B,100.0,42,45,OK,100.0,2.10,YES,4.4631,4.4641
45,P,100.0,42,-1,OK,100.0,8.19,YES,4.4961,4.5032
46,B,100.0,45,48,OK,100.0,2.01,YES,4.5291,4.5300
47,B,100.0,45,48,OK,100.0,2.06,YES,4.5621,4.5631
48,P,100.0,45,-1,OK,100.0,7.79,YES,4.5951,4.6018
49,B,100.0,48,51,OK,100.0,2.01,YES,4.6281,4.6290
50,B,100.0,48,51,OK,100.0,1.97,YES,4.6611,4.6620
51,P,100.0,48,-1,OK,100.0,7.69,YES,4.6941,4.7007
52,B,100.0,51,54,OK,100.0,2.12,YES,4.7271,4.7281
53,B,100.0,51,54,OK,100.0,2.01,YES,4.7601,4.7610
54,P,100.0,51,-1,OK,100.0,7.60,YES,4.7931,4.7996
55,B,100.0,54,57,OK,100.0,2.10,YES,4.8261,4.8271
56,B,100.0,54,57,OK,100.0,1.87,YES,4.8591,4.8599
57,P,100.0,54,-1,OK,100.0,7.71,YES,4.8921,4.8987
58,B,100.0,57,60,OK,100.0,1.95,YES,4.9251,4.9259
59,P,100.0,57,-1,OK,100.0,8.00,YES,4.9581,4.9650
60,I,100.0,-1,-1,N/A,100.0,25.18,YES,4.9911,5.0152
61,B,100.0,60,63,OK,100.0,3.57,YES,5.0256,5.0266
62,B,100.0,60,63,OK,100.0,1.89,YES,5.0571,5.0579
63,P,100.0,60,-1,OK,100.0,7.45,YES,5.0901,5.0965
64,B,100.0,63,66,OK,100.0,1.97,YES,5.1231,5.1240
65,B,100.0,63,66,OK,100.0,2.07,YES,5.1561,5.1571
66,P,100.0,63,-1,OK,100.0,8.21,YES,5.1891,5.1962
67,B,100.0,66,69,OK,100.0,2.10,YES,5.2221,5.2231
68,B,100.0,66,69,OK,100.0,1.89,YES,5.2551,5.2559
69,P,100.0,66,-1,OK,100.0,8.30,YES,5.2881,5.2953
70,B,100.0,69,72,OK,100.0,2.02,YES,5.3211,5.3220
71,B,100.0,69,72,OK,100.0,2.07,YES,5.3541,5.3551
72,P,100.0,69,-1,OK,100.0,7.91,YES,5.3871,5.3939
73,B,100.0,72,75,OK,100.0,2.06,YES,5.4201,5.4211
74,B,100.0,72,75,OK,100.0,2.04,YES,5.4531,5.4540
75,P,100.0,72,-1,OK,100.0,7.83,YES,5.4861,5.4928
76,B,100.0,75,78,OK,100.0,2.04,YES,5.5191,5.5200
77,B,100.0,75,78,OK,100.0,1.95,YES,5.5521,5.5529
78,P,100.0,75,-1,OK,100.0,7.86,YES,5.5851,5.5919
79,B,100.0,78,81,OK,100.0,2.02,YES,5.6181,5.6190
80,B,100.0,78,81,OK,100.0,2.05,YES,5.6511,5.6520
81,P,100.0,78,-1,OK,100.0,7.92,YES,5.6841,5.6909
82,B,100.0,81,84,OK,100.0,1.84,YES,5.7171,5.7178
83,B,100.0,81,84,OK,100.0,1.97,YES,5.7501,5.7510
84,P,100.0,81,-1,OK,100.0,7.91,YES,5.7831,5.7899
85,B,100.0,84,87,OK,100.0,2.02,YES,5.8161,5.8170
86,B,100.0,84,87,OK,100.0,2.01,YES,5.8491,5.8500
87,P,100.0,84,-1,OK,100.0,7.90,YES,5.8821,5.8889
88,B,100.0,87,90,OK,100.0,2.02,YES,5.9151,5.9160
89,B,100.0,87,90,OK,100.0,2.09,YES,5.9481,5.9491
90,P,100.0,87,-1,OK,100.0,8.14,YES,5.9811,5.9881
91,B,100.0,90,93,OK,100.0,1.98,YES,6.0141,6.0150
92,B,100.0,90,93,OK,100.0,3.88,YES,6.0471,6.0499
93,P,100.0,90,-1,OK,100.0,8.04,YES,6.0801,6.0870
94,B,100.0,93,96,OK,100.0,2.03,YES,6.1131,6.1140
95,B,100.0,93,96,OK,100.0,2.14,YES,6.1461,6.1471
96,P,100.0,93,-1,OK,100.0,8.03,YES,6.1791,6.1860
97,B,100.0,96,99,OK,100.0,1.94,YES,6.2121,6.2129
98,B,100.0,96,99,OK,100.0,2.03,YES,6.2451,6.2460
99,P,100.0,96,-1,OK,100.0,7.84,YES,6.2781,6.2848
