
=== Flow Monitor Statistics ===
Flow 1:
  Tx Packets: 3191
  Rx Packets: 3191
Total Tx: 3191, Total Rx: 3191
============================


=== Simulation Configuration ===
A-MPDU: ON
EDCA: OFF
Packet Size: 100 bytes
GOP Size: 60
Distance: 20 m
Simulation Time: 10 s
================================


=== IP Address Assignment ===
Server 0 addresses:
  Interface 0: 127.0.0.1
  Interface 1: 10.1.1.1
AP 0 addresses:
  Interface 0: 127.0.0.1
  Interface 1: 10.1.1.2
  Interface 2: 10.1.2.1
STA 0 addresses:
  Interface 0: 127.0.0.1
  Interface 1: 10.1.2.2

=== Routing Tables ===
Server 0 has routing protocol: YES
=====================


Statistics saved to: /Users/akira/workspace/ns-3.46.1/scratch/video-sim-log/stats_ampdu_on_edca_off_d20m.csv

FrameID,Type,PacketRatio(%),FwdRef,BwdRef,RefStatus,EffectiveRatio(%),Latency(ms),WithinDeadline,FirstArrival(sec),LastArrival(sec)
0,I,100.0,-1,-1,N/A,100.0,3.61,YES,3.0111,3.0136
1,B,100.0,0,3,OK,100.0,1.36,YES,3.0441,3.0444
2,B,100.0,0,3,OK,100.0,1.36,YES,3.0771,3.0774
3,P,100.0,0,-1,OK,100.0,2.13,YES,3.1101,3.1111
4,B,100.0,3,6,OK,100.0,1.39,YES,3.1431,3.1434
5,B,100.0,3,6,OK,100.0,1.41,YES,3.1761,3.1764
6,P,100.0,3,-1,OK,100.0,2.17,YES,3.2091,3.2102
7,B,100.0,6,9,OK,100.0,1.35,YES,3.2421,3.2423
8,B,100.0,6,9,OK,100.0,1.42,YES,3.2751,3.2754
9,P,100.0,6,-1,OK,100.0,2.00,YES,3.3081,3.3090
10,B,100.0,9,12,OK,100.0,1.32,YES,3.3411,3.3413
11,B,100.0,9,12,OK,100.0,1.31,YES,3.3741,3.3743
12,P,100.0,9,-1,OK,100.0,2.10,YES,3.4071,3.4081
13,B,100.0,12,15,OK,100.0,1.32,YES,3.4401,3.4403
14,B,100.0,12,15,OK,100.0,1.44,YES,3.4731,3.4734
15,P,100.0,12,-1,OK,100.0,2.12,YES,3.5061,3.5071
16,B,100.0,15,18,OK,100.0,1.32,YES,3.5391,3.5393
17,B,100.0,15,18,OK,100.0,1.44,YES,3.5721,3.5724
18,P,100.0,15,-1,OK,100.0,1.99,YES,3.6051,3.6060
19,B,100.0,18,21,OK,100.0,1.32,YES,3.6381,3.6383
20,B,100.0,18,21,OK,100.0,1.38,YES,3.6711,3.6714
21,P,100.0,18,-1,OK,100.0,2.12,YES,3.7041,3.7051
22,B,100.0,21,24,OK,100.0,1.40,YES,3.7371,3.7374
23,B,100.0,21,24,OK,100.0,1.41,YES,3.7701,3.7704
24,P,100.0,21,-1,OK,100.0,2.11,YES,3.8031,3.8041
25,B,100.0,24,27,OK,100.0,1.35,YES,3.8361,3.8364
26,B,100.0,24,27,OK,100.0,1.40,YES,3.8691,3.8694
27,P,100.0,24,-1,OK,100.0,2.05,YES,3.9021,3.9031
28,B,100.0,27,30,OK,100.0,1.40,YES,3.9351,3.9354
29,B,100.0,27,30,OK,100.0,1.37,YES,3.9681,3.9684
30,P,100.0,27,-1,OK,100.0,2.20,YES,4.0016,4.0022
31,B,100.0,30,33,OK,100.0,1.34,YES,4.0341,4.0343
32,B,100.0,30,33,OK,100.0,1.37,YES,4.0671,4.0674
33,P,100.0,30,-1,OK,100.0,2.10,YES,4.1001,4.1011
34,B,100.0,33,36,OK,100.0,1.42,YES,4.1331,4.1334
35,B,100.0,33,36,OK,100.0,1.41,YES,4.1661,4.1664
36,P,100.0,33,-1,OK,100.0,2.13,YES,4.1991,4.2001
37,B,100.0,36,39,OK,100.0,1.33,YES,4.2321,4.2323
38,B,100.0,36,39,OK,100.0,1.34,YES,4.2651,4.2653
39,P,100.0,36,-1,OK,100.0,2.11,YES,4.2981,4.2991
40,B,100.0,39,42,OK,100.0,1.42,YES,4.3311,4.3314
41,B,100.0,39,42,OK,100.0,1.33,YES,4.3641,4.3643
42,P,100.0,39,-1,OK,100.0,2.18,YES,4.3971,4.3982
43,B,100.0,42,45,OK,100.0,1.32,YES,4.4301,4.4303
44,B,100.0,42,45,OK,100.0,1.35,YES,4.4631,4.4634
45,P,100.0,42,-1,OK,100.0,2.02,YES,4.4961,4.4970
46,B,100.0,45,48,OK,100.0,1.43,YES,4.5291,4.5294
47,B,100.0,45,48,OK,100.0,1.30,YES,4.5621,4.5623
48,P,100.0,45,-1,OK,100.0,2.07,YES,4.5951,4.5961
49,B,100.0,48,51,OK,100.0,1.32,YES,4.6281,4.6283
50,B,100.0,48,51,OK,100.0,1.41,YES,4.6611,4.6614
51,P,100.0,48,-1,OK,100.0,2.14,YES,4.6941,4.6951
52,B,100.0,51,54,OK,100.0,1.37,YES,4.7271,4.7274
53,B,100.0,51,54,OK,100.0,1.39,YES,4.7601,4.7604
54,P,100.0,51,-1,OK,100.0,2.10,YES,4.7931,4.7941
55,B,100.0,54,57,OK,100.0,1.43,YES,4.8261,4.8264
56,B,100.0,54,57,OK,100.0,1.41,YES,4.8591,4.8594
57,P,100.0,54,-1,OK,100.0,1.92,YES,4.8921,4.8929
58,B,100.0,57,60,OK,100.0,1.36,YES,4.9251,4.9254
59,P,100.0,57,-1,OK,100.0,1.98,YES,4.9581,4.9590
60,I,100.0,-1,-1,N/A,100.0,3.74,YES,4.9911,4.9937
61,B,100.0,60,63,OK,100.0,2.60,YES,5.0255,5.0256
