FrameID,Type,PacketRatio(%),FwdRef,BwdRef,RefStatus,EffectiveRatio(%),Latency(ms),WithinDeadline,FirstArrival(sec),LastArrival(sec)
0,I,100.0,-1,-1,N/A,100.0,19.54,YES,3.0112,3.0295
1,B,100.0,0,3,OK,100.0,2.82,YES,3.0443,3.0458
2,B,100.0,0,3,OK,100.0,4.73,YES,3.0772,3.0807
3,P,100.0,0,-1,OK,100.0,12.18,YES,3.1102,3.1212
4,B,100.0,3,6,OK,100.0,2.87,YES,3.1432,3.1449
5,B,100.0,3,6,OK,100.0,2.87,YES,3.1762,3.1779
6,P,100.0,3,-1,OK,100.0,12.14,YES,3.2092,3.2201
7,B,100.0,6,9,OK,100.0,2.71,YES,3.2422,3.2437
8,B,100.0,6,9,OK,100.0,2.65,YES,3.2752,3.2767
9,P,100.0,6,-1,OK,100.0,12.19,YES,3.3082,3.3192
10,B,100.0,9,12,OK,100.0,2.70,YES,3.3412,3.3427
11,B,100.0,9,12,OK,100.0,2.88,YES,3.3742,3.3759
12,P,100.0,9,-1,OK,100.0,12.05,YES,3.4072,3.4180
13,B,100.0,12,15,OK,100.0,2.65,YES,3.4402,3.4416
14,B,100.0,12,15,OK,100.0,2.66,YES,3.4733,3.4747
15,P,100.0,12,-1,OK,100.0,12.18,YES,3.5062,3.5172
16,B,100.0,15,18,OK,100.0,2.87,YES,3.5392,3.5409
17,B,100.0,15,18,OK,100.0,2.66,YES,3.5722,3.5737
18,P,100.0,15,-1,OK,100.0,12.02,YES,3.6053,3.6160
19,B,100.0,18,21,OK,100.0,2.75,YES,3.6382,3.6398
20,B,100.0,18,21,OK,100.0,2.85,YES,3.6712,3.6729
21,P,100.0,18,-1,OK,100.0,12.00,YES,3.7042,3.7150
22,B,100.0,21,24,OK,100.0,2.85,YES,3.7372,3.7388
23,B,100.0,21,24,OK,100.0,2.79,YES,3.7702,3.7718
24,P,100.0,21,-1,OK,100.0,12.28,YES,3.8032,3.8143
25,B,100.0,24,27,OK,100.0,2.76,YES,3.8363,3.8378
26,B,100.0,24,27,OK,100.0,2.71,YES,3.8692,3.8707
27,P,100.0,24,-1,OK,100.0,12.56,YES,3.9022,3.9136
28,B,100.0,27,30,OK,100.0,2.62,YES,3.9352,3.9366
29,B,100.0,27,30,OK,100.0,2.91,YES,3.9682,3.9699
30,P,100.0,27,-1,OK,100.0,12.86,YES,4.0017,4.0129
31,B,100.0,30,33,OK,100.0,2.72,YES,4.0342,4.0357
32,B,100.0,30,33,OK,100.0,2.72,YES,4.0672,4.0687
33,P,100.0,30,-1,OK,100.0,14.35,YES,4.1002,4.1134
34,B,100.0,33,36,OK,100.0,2.59,YES,4.1332,4.1346
35,B,100.0,33,36,OK,100.0,2.73,YES,4.1662,4.1677
36,P,100.0,33,-1,OK,100.0,14.55,YES,4.1992,4.2125
37,B,100.0,36,39,OK,100.0,2.68,YES,4.2322,4.2337
38,B,100.0,36,39,OK,100.0,2.74,YES,4.2652,4.2667
39,P,100.0,36,-1,OK,100.0,14.23,YES,4.2982,4.3112
40,B,100.0,39,42,OK,100.0,2.76,YES,4.3312,4.3328
41,B,100.0,39,42,OK,100.0,2.91,YES,4.3642,4.3659
42,P,100.0,39,-1,OK,100.0,12.13,YES,4.3972,4.4081
43,B,100.0,42,45,OK,100.0,2.71,YES,4.4302,4.4317
44,B,100.0,42,45,OK,100.0,2.78,YES,4.4632,4.4648
45,P,100.0,42,-1,OK,100.0,12.45,YES,4.4962,4.5075
46,B,100.0,45,48,OK,100.0,2.61,YES,4.5292,4.5306
47,B,100.0,45,48,OK,100.0,2.71,YES,4.5622,4.5637
48,P,100.0,45,-1,OK,100.0,12.45,YES,4.5952,4.6064
49,B,100.0,48,51,OK,100.0,2.86,YES,4.6283,4.6299
50,B,100.0,48,51,OK,100.0,2.79,YES,4.6612,4.6628
51,P,100.0,48,-1,OK,100.0,11.96,YES,4.6942,4.7050
52,B,100.0,51,54,OK,100.0,2.79,YES,4.7272,4.7288
53,B,100.0,51,54,OK,100.0,2.92,YES,4.7603,4.7619
54,P,100.0,51,-1,OK,100.0,11.95,YES,4.7932,4.8039
55,B,100.0,54,57,OK,100.0,2.68,YES,4.8262,4.8277
56,B,100.0,54,57,OK,100.0,2.80,YES,4.8592,4.8608
57,P,100.0,54,-1,OK,100.0,12.18,YES,4.8923,4.9032
58,B,100.0,57,60,OK,100.0,2.62,YES,4.9252,4.9266
59,P,100.0,57,-1,OK,100.0,12.02,YES,4.9582,4.9690
60,I,100.0,-1,-1,N/A,100.0,19.60,YES,4.9913,5.0096
61,B,100.0,60,63,OK,100.0,4.19,YES,5.0257,5.0272
62,B,100.0,60,63,OK,100.0,2.81,YES,5.0572,5.0588
63,P,100.0,60,-1,OK,100.0,12.32,YES,5.0902,5.1013
64,B,100.0,63,66,OK,100.0,2.73,YES,5.1233,5.1247
65,B,100.0,63,66,OK,100.0,2.91,YES,5.1562,5.1579
66,P,100.0,63,-1,OK,100.0,12.48,YES,5.1892,5.2005
67,B,100.0,66,69,OK,100.0,2.83,YES,5.2222,5.2238
68,B,100.0,66,69,OK,100.0,2.88,YES,5.2553,5.2569
69,P,100.0,66,-1,OK,100.0,12.00,YES,5.2882,5.2990
70,B,100.0,69,72,OK,100.0,2.89,YES,5.3212,5.3229
71,B,100.0,69,72,OK,100.0,2.78,YES,5.3542,5.3558
72,P,100.0,69,-1,OK,100.0,12.24,YES,5.3873,5.3982
73,B,100.0,72,75,OK,100.0,2.72,YES,5.4202,5.4217
74,B,100.0,72,75,OK,100.0,2.82,YES,5.4532,5.4548
75,P,100.0,72,-1,OK,100.0,12.67,YES,5.4862,5.4977
76,B,100.0,75,78,OK,100.0,2.83,YES,5.5192,5.5208
77,B,100.0,75,78,OK,100.0,2.81,YES,5.5522,5.5538
