FrameID,Type,PacketRatio(%),FwdRef,BwdRef,RefStatus,EffectiveRatio(%),Latency(ms),WithinDeadline,FirstArrival(sec),LastArrival(sec)
0,I,100.0,-1,-1,N/A,100.0,432.40,NO,3.0253,3.4424
1,B,60.0,0,3,BWD_LOST,0.0,408.42,NO,3.1977,3.4514
2,B,20.0,0,3,BWD_LOST,0.0,492.25,NO,3.5683,3.5683
3,P,6.7,0,-1,OK,6.7,479.07,NO,3.5874,3.5881
7,B,20.0,6,9,OK,20.0,489.03,NO,3.7300,3.7300
8,B,20.0,6,9,OK,20.0,497.11,NO,3.7711,3.7711
10,B,40.0,9,12,OK,40.0,483.48,NO,3.8195,3.8235
13,B,60.0,12,15,BWD_LOST,0.0,490.64,NO,3.9118,3.9296
14,B,20.0,12,15,BWD_LOST,0.0,489.79,NO,3.9618,3.9618
15,P,10.0,12,-1,OK,10.0,485.35,NO,3.9739,3.9903
16,B,40.0,15,18,BOTH_LOST,0.0,489.17,NO,4.0125,4.0272
17,B,60.0,15,18,BOTH_LOST,0.0,482.48,NO,4.0506,4.0535
18,P,3.3,15,-1,FWD_LOST,0.0,489.66,NO,4.0937,4.0937
19,B,20.0,18,21,FWD_LOST,0.0,493.09,NO,4.1301,4.1301
20,B,20.0,18,21,FWD_LOST,0.0,472.77,NO,4.1428,4.1428
23,B,20.0,21,24,OK,20.0,493.10,NO,4.2621,4.2621
25,B,20.0,24,27,BWD_LOST,0.0,471.31,NO,4.3063,4.3063
27,P,3.3,24,-1,OK,3.3,485.18,NO,4.3862,4.3862
28,B,20.0,27,30,FWD_LOST,0.0,469.00,NO,4.4030,4.4030
29,B,20.0,27,30,FWD_LOST,0.0,493.11,NO,4.4601,4.4601
31,B,40.0,30,33,OK,40.0,478.16,NO,4.5105,4.5112
32,B,40.0,30,33,OK,40.0,495.93,NO,4.5595,4.5619
34,B,20.0,33,36,BWD_LOST,0.0,499.31,NO,4.6313,4.6313
35,B,20.0,33,36,BWD_LOST,0.0,488.92,NO,4.6539,4.6539
36,P,3.3,33,-1,OK,3.3,492.72,NO,4.6907,4.6907
38,B,20.0,36,39,FWD_LOST,0.0,488.74,NO,4.7527,4.7527
42,P,3.3,39,-1,OK,3.3,488.20,NO,4.8842,4.8842
