FrameID,Type,PacketRatio(%),FwdRef,BwdRef,RefStatus,EffectiveRatio(%),Latency(ms),WithinDeadline,FirstArrival(sec),LastArrival(sec)
0,I,98.0,-1,-1,N/A,98.0,504.58,NO,3.2033,3.5146
1,B,100.0,0,3,BOTH_LOST,0.0,471.58,NO,3.5146,3.5146
2,B,100.0,0,3,BOTH_LOST,0.0,438.58,NO,3.5146,3.5146
3,P,93.3,0,-1,FWD_LOST,0.0,504.74,NO,3.5146,3.6137
4,B,100.0,3,6,BOTH_LOST,0.0,471.74,NO,3.6137,3.6137
5,B,100.0,3,6,BOTH_LOST,0.0,438.74,NO,3.6137,3.6137
6,P,96.7,3,-1,FWD_LOST,0.0,503.34,NO,3.6137,3.7113
7,B,100.0,6,9,FWD_LOST,0.0,470.34,NO,3.7113,3.7113
8,B,80.0,6,9,FWD_LOST,0.0,505.03,NO,3.7113,3.7790
9,P,100.0,6,-1,FWD_LOST,0.0,472.03,NO,3.7790,3.7790
10,B,100.0,9,12,BWD_LOST,0.0,439.03,NO,3.7790,3.7790
11,B,100.0,9,12,BWD_LOST,0.0,436.53,NO,3.7790,3.8095
12,P,90.0,9,-1,OK,90.0,506.85,NO,3.8095,3.9129
13,B,100.0,12,15,BOTH_LOST,0.0,473.85,NO,3.9129,3.9129
14,B,100.0,12,15,BOTH_LOST,0.0,440.85,NO,3.9129,3.9129
15,P,96.7,12,-1,FWD_LOST,0.0,505.99,NO,3.9129,4.0110
16,B,100.0,15,18,FWD_LOST,0.0,472.99,NO,4.0110,4.0110
17,B,100.0,15,18,FWD_LOST,0.0,439.99,NO,4.0110,4.0110
18,P,100.0,15,-1,FWD_LOST,0.0,491.84,NO,4.0678,4.0958
19,B,80.0,18,21,BWD_LOST,0.0,506.35,NO,4.0958,4.1433
20,B,100.0,18,21,BWD_LOST,0.0,473.35,NO,4.1433,4.1433
21,P,96.7,18,-1,OK,96.7,505.23,NO,4.1433,4.2082
22,B,100.0,21,24,FWD_LOST,0.0,472.23,NO,4.2082,4.2082
23,B,100.0,21,24,FWD_LOST,0.0,439.23,NO,4.2082,4.2082
24,P,100.0,21,-1,FWD_LOST,0.0,468.63,NO,4.2706,4.2706
25,B,100.0,24,27,BWD_LOST,0.0,435.63,NO,4.2706,4.2706
26,B,100.0,24,27,BWD_LOST,0.0,436.83,NO,4.2706,4.3048
27,P,86.7,24,-1,OK,86.7,501.69,NO,4.3048,4.4027
28,B,80.0,27,30,FWD_LOST,0.0,468.69,NO,4.4027,4.4027
29,B,80.0,27,30,FWD_LOST,0.0,471.60,NO,4.4386,4.4386
30,P,100.0,27,-1,FWD_LOST,0.0,484.88,NO,4.4732,4.4849
31,B,80.0,30,33,BWD_LOST,0.0,504.13,NO,4.5371,4.5371
32,B,100.0,30,33,BWD_LOST,0.0,471.13,NO,4.5371,4.5371
33,P,80.0,30,-1,OK,80.0,506.16,NO,4.5371,4.6052
34,B,100.0,33,36,BOTH_LOST,0.0,473.16,NO,4.6052,4.6052
35,B,100.0,33,36,BOTH_LOST,0.0,440.16,NO,4.6052,4.6052
36,P,80.0,33,-1,FWD_LOST,0.0,505.78,NO,4.6052,4.7038
37,B,100.0,36,39,BOTH_LOST,0.0,472.78,NO,4.7038,4.7038
38,B,100.0,36,39,BOTH_LOST,0.0,439.78,NO,4.7038,4.7038
39,P,90.0,36,-1,FWD_LOST,0.0,505.66,NO,4.7038,4.8027
40,B,80.0,39,42,FWD_LOST,0.0,502.96,NO,4.8330,4.8330
41,B,100.0,39,42,FWD_LOST,0.0,469.96,NO,4.8330,4.8330
42,P,100.0,39,-1,FWD_LOST,0.0,454.36,NO,4.8330,4.8504
43,B,60.0,42,45,BWD_LOST,0.0,502.43,NO,4.9314,4.9314
44,B,100.0,42,45,BWD_LOST,0.0,469.43,NO,4.9314,4.9314
45,P,93.3,42,-1,OK,93.3,504.44,NO,4.9314,4.9994
46,B,100.0,45,48,BOTH_LOST,0.0,471.44,NO,4.9994,4.9994
47,B,80.0,45,48,BOTH_LOST,0.0,502.69,NO,4.9994,5.0637
48,P,90.0,45,-1,FWD_LOST,0.0,503.76,NO,5.0637,5.0978
49,B,100.0,48,51,BOTH_LOST,0.0,470.76,NO,5.0978,5.0978
50,B,100.0,48,51,BOTH_LOST,0.0,438.20,NO,5.0982,5.0982
51,P,93.3,48,-1,FWD_LOST,0.0,503.43,NO,5.1457,5.1964
52,B,80.0,51,54,BOTH_LOST,0.0,506.62,NO,5.2024,5.2326
53,B,100.0,51,54,BOTH_LOST,0.0,473.62,NO,5.2326,5.2326
54,P,76.7,51,-1,FWD_LOST,0.0,503.24,NO,5.2326,5.2952
55,B,100.0,54,57,BOTH_LOST,0.0,470.24,NO,5.2952,5.2952
56,B,80.0,54,57,BOTH_LOST,0.0,437.24,NO,5.2952,5.2952
57,P,83.3,54,-1,FWD_LOST,0.0,502.76,NO,5.3598,5.3938
58,B,80.0,57,60,BOTH_LOST,0.0,469.76,NO,5.3938,5.3938
59,P,83.3,57,-1,FWD_LOST,0.0,501.46,NO,5.4281,5.4585
60,I,76.0,-1,-1,N/A,76.0,502.91,NO,5.4585,5.4929
61,B,80.0,60,63,BOTH_LOST,0.0,475.89,NO,5.4929,5.4989
62,B,60.0,60,63,BOTH_LOST,0.0,501.22,NO,5.5572,5.5572
