FrameID,Type,PacketRatio(%),FwdRef,BwdRef,RefStatus,EffectiveRatio(%),Latency(ms),WithinDeadline,FirstArrival(sec),LastArrival(sec)
0,I,100.0,-1,-1,N/A,100.0,12.29,YES,3.0136,3.0223
1,B,100.0,0,3,OK,100.0,3.59,YES,3.0459,3.0466
2,B,100.0,0,3,OK,100.0,2.06,YES,3.0772,3.0781
3,P,100.0,0,-1,OK,100.0,6.11,YES,3.1102,3.1151
4,B,100.0,3,6,OK,100.0,2.09,YES,3.1432,3.1441
5,B,100.0,3,6,OK,100.0,2.09,YES,3.1762,3.1771
6,P,100.0,3,-1,OK,100.0,6.09,YES,3.2092,3.2141
7,B,100.0,6,9,OK,100.0,2.12,YES,3.2422,3.2431
8,B,100.0,6,9,OK,100.0,2.05,YES,3.2752,3.2760
9,P,100.0,6,-1,OK,100.0,6.16,YES,3.3082,3.3132
10,B,100.0,9,12,OK,100.0,2.16,YES,3.3412,3.3422
11,B,100.0,9,12,OK,100.0,2.07,YES,3.3742,3.3751
12,P,100.0,9,-1,OK,100.0,6.17,YES,3.4072,3.4122
13,B,100.0,12,15,OK,100.0,2.05,YES,3.4402,3.4411
14,B,100.0,12,15,OK,100.0,2.03,YES,3.4732,3.4740
15,P,100.0,12,-1,OK,100.0,6.26,YES,3.5062,3.5113
16,B,100.0,15,18,OK,100.0,2.05,YES,3.5392,3.5400
17,B,100.0,15,18,OK,100.0,2.10,YES,3.5722,3.5731
18,P,100.0,15,-1,OK,100.0,6.08,YES,3.6053,3.6101
19,B,100.0,18,21,OK,100.0,2.16,YES,3.6382,3.6392
20,B,100.0,18,21,OK,100.0,2.09,YES,3.6712,3.6721
21,P,100.0,18,-1,OK,100.0,6.07,YES,3.7042,3.7091
22,B,100.0,21,24,OK,100.0,2.16,YES,3.7372,3.7382
23,B,100.0,21,24,OK,100.0,2.04,YES,3.7702,3.7710
24,P,100.0,21,-1,OK,100.0,6.13,YES,3.8032,3.8081
25,B,100.0,24,27,OK,100.0,2.05,YES,3.8362,3.8370
26,B,100.0,24,27,OK,100.0,2.10,YES,3.8692,3.8701
27,P,100.0,24,-1,OK,100.0,6.11,YES,3.9022,3.9071
28,B,100.0,27,30,OK,100.0,2.12,YES,3.9352,3.9361
29,B,100.0,27,30,OK,100.0,2.15,YES,3.9682,3.9691
30,P,100.0,27,-1,OK,100.0,6.37,YES,4.0017,4.0064
31,B,100.0,30,33,OK,100.0,2.12,YES,4.0342,4.0351
32,B,100.0,30,33,OK,100.0,2.13,YES,4.0672,4.0681
33,P,100.0,30,-1,OK,100.0,6.13,YES,4.1002,4.1051
34,B,100.0,33,36,OK,100.0,2.05,YES,4.1332,4.1340
35,B,100.0,33,36,OK,100.0,2.13,YES,4.1662,4.1671
36,P,100.0,33,-1,OK,100.0,6.11,YES,4.1992,4.2041
37,B,100.0,36,39,OK,100.0,2.18,YES,4.2323,4.2332
38,B,100.0,36,39,OK,100.0,2.07,YES,4.2652,4.2661
39,P,100.0,36,-1,OK,100.0,6.11,YES,4.2982,4.3031
40,B,100.0,39,42,OK,100.0,2.10,YES,4.3312,4.3321
41,B,100.0,39,42,OK,100.0,2.13,YES,4.3642,4.3651
42,P,100.0,39,-1,OK,100.0,6.35,YES,4.3972,4.4024
43,B,100.0,42,45,OK,100.0,2.08,YES,4.4302,4.4311
44,B,100.0,42,45,OK,100.0,2.13,YES,4.4632,4.4641
45,P,100.0,42,-1,OK,100.0,6.08,YES,4.4962,4.5011
46,B,100.0,45,48,OK,100.0,2.14,YES,4.5292,4.5301
47,B,100.0,45,48,OK,100.0,2.11,YES,4.5623,4.5631
48,P,100.0,45,-1,OK,100.0,6.16,YES,4.5952,4.6002
49,B,100.0,48,51,OK,100.0,2.06,YES,4.6282,4.6291
50,B,100.0,48,51,OK,100.0,2.13,YES,4.6612,4.6621
51,P,100.0,48,-1,OK,100.0,6.18,YES,4.6942,4.6992
52,B,100.0,51,54,OK,100.0,2.14,YES,4.7272,4.7281
53,B,100.0,51,54,OK,100.0,2.10,YES,4.7602,4.7611
54,P,100.0,51,-1,OK,100.0,6.08,YES,4.7932,4.7981
55,B,100.0,54,57,OK,100.0,2.16,YES,4.8262,4.8272
56,B,100.0,54,57,OK,100.0,2.04,YES,4.8592,4.8600
57,P,100.0,54,-1,OK,100.0,6.10,YES,4.8922,4.8971
58,B,100.0,57,60,OK,100.0,2.17,YES,4.9252,4.9262
59,P,100.0,57,-1,OK,100.0,6.09,YES,4.9582,4.9631
60,I,100.0,-1,-1,N/A,100.0,10.00,YES,4.9912,5.0000
61,B,100.0,60,63,OK,100.0,3.32,YES,5.0257,5.0263
62,B,100.0,60,63,OK,100.0,2.13,YES,5.0572,5.0581
63,P,100.0,60,-1,OK,100.0,6.11,YES,5.0902,5.0951
